,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 26_level_0
,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Match Report
0,2022-07-30,17:00,Community Shield,FA Community Shield,Sat,Neutral,L,1,3,Liverpool,1,0,0,8,12,3,14,14,11,,,,,,,,Match Report
1,2022-08-07,16:30,Premier League,Matchweek 1,Sun,Away,W,2,0,West Ham,1,0,0,4,8,1,18,3,4,1.0,0.0,0.0,47.0,11.0,10.0,52.4,Match Report
2,2022-08-13,15:00,Premier League,Matchweek 2,Sat,Home,W,4,0,Bournemouth,0,0,0,9,9,2,27,5,4,0.0,0.0,0.0,41.0,9.0,8.0,52.9,Match Report
3,2022-08-21,16:30,Premier League,Matchweek 3,Sun,Away,D,3,3,Newcastle Utd,2,0,0,7,14,1,20,5,5,0.0,0.0,0.0,47.0,15.0,12.0,55.6,Match Report
4,2022-08-27,15:00,Premier League,Matchweek 4,Sat,Home,W,4,2,Crystal Palace,1,0,0,14,8,2,29,5,10,0.0,0.0,1.0,47.0,14.0,7.0,66.7,Match Report
5,2022-08-31,19:30,Premier League,Matchweek 5,Wed,Home,W,6,0,Nott'ham Forest,0,0,0,9,5,2,27,5,11,0.0,0.0,0.0,47.0,17.0,8.0,68.0,Match Report
6,2022-09-03,17:30,Premier League,Matchweek 6,Sat,Away,D,1,1,Aston Villa,0,0,0,6,7,3,14,5,5,0.0,0.0,0.0,55.0,26.0,13.0,66.7,Match Report
7,2022-09-06,21:00,Champions Lg,Group stage,Tue,Away,W,4,0,es Sevilla,0,0,0,8,9,2,23,9,6,0.0,0.0,0.0,54.0,8.0,8.0,50.0,Match Report
8,2022-09-14,20:00,Champions Lg,Group stage,Wed,Home,W,2,1,de Dortmund,2,0,0,9,7,0,27,8,8,0.0,0.0,0.0,50.0,9.0,7.0,56.3,Match Report
9,2022-09-17,12:30,Premier League,Matchweek 8,Sat,Away,W,3,0,Wolves,1,0,0,9,6,1,12,15,11,0.0,0.0,0.0,52.0,11.0,3.0,78.6,Match Report
10,2022-10-02,14:00,Premier League,Matchweek 9,Sun,Home,W,6,3,Manchester Utd,0,0,0,3,9,1,10,11,8,0.0,1.0,0.0,50.0,10.0,6.0,62.5,Match Report
11,2022-10-05,20:00,Champions Lg,Group stage,Wed,Home,W,5,0,dk FC Copenhagen,0,0,0,7,6,0,19,3,6,1.0,0.0,0.0,43.0,12.0,6.0,66.7,Match Report
12,2022-10-08,15:00,Premier League,Matchweek 10,Sat,Home,W,4,0,Southampton,0,0,0,4,8,1,21,8,8,0.0,0.0,0.0,57.0,11.0,10.0,52.4,Match Report
13,2022-10-11,18:45,Champions Lg,Group stage,Tue,Away,D,0,0,dk FC Copenhagen,1,1,0,6,12,2,17,4,8,0.0,0.0,0.0,45.0,14.0,10.0,58.3,Match Report
14,2022-10-16,16:30,Premier League,Matchweek 11,Sun,Away,L,0,1,Liverpool,1,0,0,7,8,0,26,7,14,0.0,0.0,0.0,62.0,15.0,10.0,60.0,Match Report
15,2022-10-22,15:00,Premier League,Matchweek 13,Sat,Home,W,3,1,Brighton,1,0,0,11,12,0,11,8,9,1.0,0.0,0.0,51.0,1.0,8.0,11.1,Match Report
16,2022-10-25,21:00,Champions Lg,Group stage,Tue,Away,D,0,0,de Dortmund,4,0,0,10,5,3,16,13,12,1.0,0.0,0.0,52.0,8.0,7.0,53.3,Match Report
17,2022-10-29,12:30,Premier League,Matchweek 14,Sat,Away,W,1,0,Leicester City,0,0,0,10,5,2,29,6,4,0.0,0.0,0.0,45.0,13.0,11.0,54.2,Match Report
18,2022-11-02,20:00,Champions Lg,Group stage,Wed,Home,W,3,1,es Sevilla,0,0,0,9,7,1,28,4,5,0.0,0.0,0.0,45.0,10.0,6.0,62.5,Match Report
19,2022-11-05,15:00,Premier League,Matchweek 15,Sat,Home,W,2,1,Fulham,2,1,0,6,11,3,25,5,2,1.0,1.0,0.0,51.0,12.0,10.0,54.5,Match Report
20,2022-11-09,20:00,EFL Cup,Third round,Wed,Home,W,2,0,Chelsea,1,0,0,13,9,3,17,8,5,,,0.0,,,,,Match Report
21,2022-11-12,12:30,Premier League,Matchweek 16,Sat,Home,L,1,2,Brentford,2,0,0,9,6,2,38,3,7,0.0,0.0,0.0,47.0,22.0,20.0,52.4,Match Report
22,2022-12-22,20:00,EFL Cup,Fourth round,Thu,Home,W,3,2,Liverpool,1,0,0,6,10,1,23,12,9,,,0.0,,,,,Match Report
23,2022-12-28,20:00,Premier League,Matchweek 17,Wed,Away,W,3,1,Leeds United,3,0,0,14,11,1,12,5,7,0.0,0.0,0.0,48.0,7.0,5.0,58.3,Match Report
24,2022-12-31,15:00,Premier League,Matchweek 18,Sat,Home,D,1,1,Everton,3,0,0,13,14,3,32,3,7,0.0,0.0,0.0,43.0,9.0,7.0,56.3,Match Report
25,2023-01-05,20:00,Premier League,Matchweek 19,Thu,Away,W,1,0,Chelsea,0,0,0,9,9,1,14,10,13,0.0,0.0,0.0,60.0,12.0,8.0,60.0,Match Report
26,2023-01-08,16:30,FA Cup,Third round proper,Sun,Home,W,4,0,Chelsea,3,0,0,10,9,1,6,5,17,,,0.0,,,,,Match Report
27,2023-01-11,20:00,EFL Cup,Quarter-finals,Wed,Away,L,0,2,Southampton,0,0,0,5,10,1,18,9,12,,,0.0,,,,,Match Report
28,2023-01-14,12:30,Premier League,Matchweek 20,Sat,Away,L,1,2,Manchester Utd,0,0,0,5,15,2,20,4,1,0.0,0.0,0.0,43.0,10.0,9.0,52.6,Match Report
29,2023-01-19,20:00,Premier League,Matchweek 7,Thu,Home,W,4,2,Tottenham,1,0,0,10,13,0,20,8,11,0.0,0.0,0.0,47.0,11.0,11.0,50.0,Match Report
30,2023-01-22,14:00,Premier League,Matchweek 21,Sun,Home,W,3,0,Wolves,1,0,0,10,10,1,24,6,5,1.0,0.0,0.0,51.0,14.0,9.0,60.9,Match Report
31,2023-01-27,20:00,FA Cup,Fourth round proper,Fri,Home,W,1,0,Arsenal,1,0,0,9,13,3,8,10,14,,,0.0,,,,,Match Report
32,2023-02-05,16:30,Premier League,Matchweek 22,Sun,Away,L,0,1,Tottenham,3,0,0,14,18,1,27,7,9,0.0,0.0,0.0,54.0,16.0,9.0,64.0,Match Report
33,2023-02-12,16:30,Premier League,Matchweek 23,Sun,Home,W,3,1,Aston Villa,1,0,0,13,14,1,18,3,3,1.0,0.0,0.0,45.0,7.0,4.0,63.6,Match Report
34,2023-02-15,19:30,Premier League,Matchweek 12,Wed,Away,W,3,1,Arsenal,4,0,0,15,10,3,9,11,12,0.0,1.0,0.0,51.0,14.0,11.0,56.0,Match Report
35,2023-02-18,15:00,Premier League,Matchweek 24,Sat,Away,D,1,1,Nott'ham Forest,0,0,0,6,8,0,34,2,7,0.0,0.0,0.0,56.0,10.0,13.0,43.5,Match Report
36,2023-02-22,21:00,Champions Lg,Round of 16,Wed,Away,D,1,1,de RB Leipzig,0,0,0,6,11,1,11,5,6,0.0,0.0,0.0,40.0,6.0,3.0,66.7,Match Report
37,2023-02-25,17:30,Premier League,Matchweek 25,Sat,Away,W,4,1,Bournemouth,2,0,0,9,9,2,16,6,17,0.0,0.0,0.0,54.0,9.0,10.0,47.4,Match Report
38,2023-02-28,20:00,FA Cup,Fifth round proper,Tue,Away,W,3,0,Bristol City,2,0,0,8,9,0,11,10,9,,,0.0,,,,,Match Report
39,2023-03-04,12:30,Premier League,Matchweek 26,Sat,Home,W,2,0,Newcastle Utd,2,0,0,8,12,0,18,4,6,0.0,0.0,0.0,60.0,9.0,7.0,56.3,Match Report
40,2023-03-11,17:30,Premier League,Matchweek 27,Sat,Away,W,1,0,Crystal Palace,2,0,0,17,11,2,22,9,7,1.0,0.0,0.0,53.0,12.0,9.0,57.1,Match Report
41,2023-03-14,20:00,Champions Lg,Round of 16,Tue,Home,W,7,0,de RB Leipzig,2,0,0,10,5,1,28,6,5,0.0,0.0,0.0,52.0,13.0,4.0,76.5,Match Report
42,2023-03-18,17:45,FA Cup,Quarter-finals,Sat,Home,W,6,0,Burnley,0,0,0,9,10,0,9,11,12,,,0.0,,,,,Match Report
43,2023-04-01,12:30,Premier League,Matchweek 29,Sat,Home,W,4,1,Liverpool,1,0,0,9,12,3,15,4,0,0.0,0.0,0.0,40.0,1.0,7.0,12.5,Match Report
44,2023-04-08,17:30,Premier League,Matchweek 30,Sat,Away,W,4,1,Southampton,2,0,0,10,6,2,21,6,7,1.0,0.0,0.0,45.0,13.0,7.0,65.0,Match Report
45,2023-04-11,20:00,Champions Lg,Quarter-finals,Tue,Home,W,3,0,de Bayern Munich,1,0,0,11,8,0,20,6,16,0.0,0.0,0.0,63.0,11.0,12.0,47.8,Match Report
46,2023-04-15,17:30,Premier League,Matchweek 31,Sat,Home,W,3,1,Leicester City,1,0,0,8,7,0,23,1,6,0.0,0.0,0.0,35.0,7.0,15.0,31.8,Match Report
47,2023-04-19,21:00,Champions Lg,Quarter-finals,Wed,Away,D,1,1,de Bayern Munich,4,0,0,11,11,2,6,7,10,0.0,1.0,0.0,48.0,10.0,3.0,76.9,Match Report
48,2023-04-22,16:45,FA Cup,Semi-finals,Sat,Neutral,W,3,0,Sheffield Utd,0,0,0,5,15,2,22,4,9,,,0.0,,,,,Match Report
49,2023-04-26,20:00,Premier League,Matchweek 33,Wed,Home,W,4,1,Arsenal,3,0,0,13,13,0,5,9,8,0.0,0.0,0.0,42.0,15.0,12.0,55.6,Match Report
50,2023-04-30,14:00,Premier League,Matchweek 34,Sun,Away,W,2,1,Fulham,3,0,0,10,8,1,11,5,10,1.0,0.0,0.0,54.0,16.0,15.0,51.6,Match Report
51,2023-05-03,20:00,Premier League,Matchweek 28,Wed,Home,W,3,0,West Ham,0,0,0,8,8,1,25,5,9,0.0,0.0,0.0,55.0,10.0,14.0,41.7,Match Report
52,,,,,,,38-8-6,136,41,,66,2,0,469,502,71,996,347,427,10.0,4.0,1.0,2127.0,490.0,384.0,56.1,
