,date,time,comp,round,day,venue,result,gf,ga,opponent,xga,attendance,captain,formation,referee,match report,notes,tkl,tklw,tkldef3rd,tklmid3rd,tklatt3rd,dritkl,drichall,tkl%,challlost,blocks,shblk,passblk,int,tkl+int,clr,err,sca,scalivepass,scadeadpass,scadri,scash,scafls,scadefac,gca,gcalivepass,gcadeadpass,gcadri,gcash,gcafls,gcadefac,sota,saves,save%,cs,psxg,psxg+/-,pkattag,pkconc,pksvag,pkmissag,laucmp,lauatt,laucmp%,passatt,throwsatt,passlaunch%,passavglen,gkatt,gklaunch%,gkavglen,crossesfaced,crossesstp,crossesstp%,defactionoutbox,avgdistofdefaction,yell,red,fouls,foulsdrawn,off,crosses,pkwon,pkcon,recov,aerialwon,aeriallost,aerialwon%,totpasscmp,totpassatt,totpasscmp%,totpassdist,prgpassdist,spasscmp,spasatt,spascmp%,mpascmp,mpasatt,mpascmp%,lpascmp,lpasatt,lpascmp%,ast,xag,xa,keypasses,passintofinal1/3,passdintobox,crsintobox,prgpass,livepass,deadpass,passesfk,tb,switch,cross,ti,ck,ckin,ckout,ckstraight,offpasses,blockedpasses,poss,touches,defboxtouches,def3rdtouches,mid3rdtouches,att3rdtouches,attboxtouches,live,atttakeons,succtakeons,succ%takeons,tkldintakeons,tkld%intakeons,carries,totdistcarried,prgdistcarried,prgcarries,carriesinto1/3,carriesintobox,miscontrols,dispossessed,passesrec,prgpassesrec,sh,sot,sot%,g/sh,g/sot,avgdistofsh,fk,pk,pkattfor,xg,npxg,npxg/sh,g-xg,np:g-xg
0,2022-07-30,17:00,Community Shield,FA Community Shield,Sat,Neutral,L,1.0,3.0,Liverpool,,,Rúben Dias,4-3-3,Craig Pawson,Match Report,,,11.0,,,,,,,,,,,14.0,0.0,,,,,,,,,,,,,,,,,3.0,1.0,33.3,,,,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,8.0,12.0,3.0,14.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,14.0,,,,,,,,57.0,,,,,,,,,,,,,,,,,,,,,,,14.0,8.0,57.1,0.07,0.13,,,0.0,0.0,,,,,
1,2022-08-07,16:30,Premier League,Matchweek 1,Sun,Away,W,2.0,0.0,West Ham,0.5,62443.0,İlkay Gündoğan,4-3-3,Michael Oliver,Match Report,,6.0,4.0,4.0,1.0,1.0,6.0,7.0,85.7,1.0,7.0,3.0,4.0,3.0,9.0,11.0,0.0,27.0,23.0,1.0,0.0,1.0,2.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,1.0,0.1,0.1,0.0,0.0,0.0,0.0,1.0,4.0,25.0,38.0,5.0,10.5,25.0,5.0,0.0,19.4,11.0,1.0,9.1,3.0,21.8,1.0,0.0,4.0,8.0,1.0,18.0,1.0,0.0,47.0,11.0,10.0,52.4,792.0,869.0,91.1,12789.0,3979.0,415.0,430.0,96.5,302.0,319.0,94.7,59.0,85.0,69.4,1.0,1.3,1.6,11.0,52.0,9.0,0.0,51.0,836.0,32.0,10.0,1.0,9.0,18.0,12.0,4.0,3.0,0.0,0.0,1.0,4.0,75.0,936.0,55.0,227.0,484.0,234.0,35.0,935.0,26.0,14.0,53.8,11.0,42.3,580.0,3567.0,1841.0,31.0,26.0,8.0,7.0,3.0,783.0,49.0,13.0,1.0,7.7,0.08,1.0,18.7,1.0,1.0,1.0,2.2,1.4,0.11,-0.2,-0.4
2,2022-08-13,15:00,Premier League,Matchweek 2,Sat,Home,W,4.0,0.0,Bournemouth,0.1,53453.0,İlkay Gündoğan,4-2-3-1,David Coote,Match Report,,8.0,4.0,1.0,5.0,2.0,4.0,10.0,40.0,6.0,11.0,1.0,10.0,5.0,13.0,4.0,0.0,36.0,23.0,6.0,3.0,3.0,0.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,3.0,6.7,24.3,1.0,0.0,10.0,6.0,1.0,16.7,0.0,11.0,0.0,0.0,9.0,9.0,2.0,27.0,0.0,0.0,41.0,9.0,8.0,52.9,672.0,739.0,90.9,11744.0,3043.0,305.0,321.0,95.0,296.0,316.0,93.7,60.0,81.0,74.1,3.0,1.7,1.8,17.0,76.0,13.0,3.0,73.0,703.0,34.0,10.0,3.0,8.0,27.0,11.0,11.0,0.0,10.0,0.0,2.0,3.0,67.0,814.0,20.0,83.0,409.0,325.0,32.0,814.0,16.0,10.0,62.5,4.0,25.0,565.0,2288.0,1263.0,24.0,19.0,8.0,10.0,6.0,668.0,73.0,19.0,7.0,36.8,0.16,0.43,17.5,0.0,0.0,0.0,1.7,1.7,0.09,1.3,1.3
3,2022-08-21,16:30,Premier League,Matchweek 3,Sun,Away,D,3.0,3.0,Newcastle Utd,1.8,52258.0,İlkay Gündoğan,4-3-3,Jarred Gillett,Match Report,,9.0,5.0,1.0,5.0,3.0,4.0,13.0,30.8,9.0,6.0,3.0,3.0,5.0,14.0,13.0,0.0,40.0,31.0,2.0,2.0,2.0,2.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,40.0,0.0,2.3,-0.7,0.0,0.0,0.0,0.0,3.0,7.0,42.9,35.0,13.0,17.1,28.4,4.0,25.0,33.8,9.0,1.0,11.1,1.0,12.0,2.0,0.0,7.0,14.0,1.0,20.0,0.0,0.0,47.0,15.0,12.0,55.6,554.0,660.0,83.9,9782.0,3100.0,252.0,277.0,91.0,235.0,272.0,86.4,57.0,82.0,69.5,3.0,1.8,2.0,17.0,48.0,9.0,2.0,60.0,612.0,47.0,15.0,7.0,9.0,20.0,18.0,5.0,0.0,4.0,0.0,1.0,10.0,69.0,756.0,66.0,196.0,364.0,202.0,36.0,756.0,23.0,13.0,56.5,7.0,30.4,394.0,2315.0,1385.0,26.0,14.0,8.0,9.0,6.0,546.0,59.0,21.0,10.0,47.6,0.14,0.3,16.2,1.0,0.0,0.0,2.1,2.1,0.1,0.9,0.9
4,2022-08-27,15:00,Premier League,Matchweek 4,Sat,Home,W,4.0,2.0,Crystal Palace,0.1,53112.0,Kevin De Bruyne,4-2-3-1,Darren England,Match Report,,12.0,10.0,6.0,4.0,2.0,5.0,10.0,50.0,5.0,7.0,0.0,7.0,5.0,17.0,3.0,0.0,31.0,25.0,2.0,2.0,2.0,0.0,0.0,7.0,6.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.3,-0.7,0.0,0.0,0.0,0.0,1.0,1.0,100.0,22.0,3.0,4.5,24.4,2.0,0.0,22.5,4.0,1.0,25.0,1.0,17.3,1.0,0.0,14.0,8.0,2.0,29.0,0.0,0.0,47.0,14.0,7.0,66.7,734.0,822.0,89.3,12510.0,3364.0,358.0,380.0,94.2,301.0,334.0,90.1,65.0,83.0,78.3,4.0,2.3,1.8,15.0,82.0,22.0,8.0,81.0,782.0,38.0,9.0,1.0,4.0,29.0,18.0,6.0,2.0,2.0,0.0,2.0,3.0,74.0,894.0,28.0,111.0,422.0,364.0,45.0,894.0,19.0,10.0,52.6,4.0,21.1,573.0,3038.0,1755.0,29.0,34.0,9.0,10.0,5.0,731.0,80.0,18.0,5.0,27.8,0.22,0.8,14.1,0.0,0.0,0.0,2.2,2.2,0.13,1.8,1.8
5,2022-08-31,19:30,Premier League,Matchweek 5,Wed,Home,W,6.0,0.0,Nott'ham Forest,0.7,53409.0,İlkay Gündoğan,4-2-3-1,Paul Tierney,Match Report,,13.0,11.0,4.0,5.0,4.0,6.0,12.0,50.0,6.0,5.0,3.0,2.0,5.0,18.0,6.0,0.0,30.0,19.0,4.0,2.0,3.0,1.0,1.0,9.0,7.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,1.0,0.1,0.1,0.0,0.0,0.0,0.0,1.0,5.0,20.0,31.0,1.0,12.9,29.8,4.0,25.0,29.5,6.0,0.0,0.0,4.0,22.0,0.0,0.0,9.0,5.0,2.0,27.0,0.0,0.0,47.0,17.0,8.0,68.0,741.0,831.0,89.2,12979.0,3640.0,341.0,361.0,94.5,315.0,341.0,92.4,69.0,93.0,74.2,3.0,1.8,1.6,13.0,60.0,13.0,1.0,63.0,789.0,40.0,9.0,2.0,10.0,27.0,16.0,10.0,3.0,3.0,0.0,2.0,10.0,74.0,902.0,36.0,152.0,499.0,256.0,33.0,902.0,21.0,7.0,33.3,10.0,47.6,508.0,2858.0,1638.0,26.0,19.0,6.0,12.0,4.0,731.0,61.0,17.0,9.0,52.9,0.35,0.67,14.8,0.0,0.0,0.0,3.3,3.3,0.2,2.7,2.7
6,2022-09-03,17:30,Premier League,Matchweek 6,Sat,Away,D,1.0,1.0,Aston Villa,0.3,41830.0,İlkay Gündoğan,4-3-3,Simon Hooper,Match Report,,13.0,5.0,6.0,4.0,3.0,6.0,6.0,100.0,0.0,8.0,1.0,7.0,5.0,18.0,7.0,0.0,24.0,20.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6,-0.4,0.0,0.0,0.0,0.0,2.0,5.0,40.0,31.0,1.0,16.1,26.5,3.0,0.0,32.7,7.0,0.0,0.0,0.0,9.5,0.0,0.0,6.0,7.0,3.0,14.0,0.0,0.0,55.0,26.0,13.0,66.7,695.0,800.0,86.9,12371.0,3671.0,306.0,336.0,91.1,302.0,327.0,92.4,72.0,102.0,70.6,1.0,1.7,1.2,10.0,34.0,13.0,3.0,55.0,758.0,39.0,11.0,1.0,11.0,14.0,19.0,4.0,1.0,1.0,0.0,3.0,6.0,71.0,872.0,43.0,221.0,470.0,182.0,34.0,872.0,8.0,4.0,50.0,3.0,37.5,479.0,2607.0,1198.0,20.0,19.0,1.0,7.0,12.0,684.0,55.0,13.0,4.0,30.8,0.08,0.25,16.8,1.0,0.0,0.0,2.1,2.1,0.16,-1.1,-1.1
7,2022-09-06,21:00,Champions Lg,Group stage,Tue,Away,W,4.0,0.0,es Sevilla,0.3,38764.0,Kevin De Bruyne,4-3-3,Davide Massa,Match Report,,12.0,6.0,5.0,5.0,2.0,4.0,7.0,57.1,3.0,7.0,1.0,6.0,9.0,21.0,14.0,0.0,46.0,35.0,2.0,3.0,3.0,2.0,1.0,7.0,5.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,1.0,0.1,0.1,0.0,0.0,0.0,0.0,4.0,7.0,57.1,23.0,1.0,21.7,29.5,4.0,50.0,32.5,8.0,0.0,0.0,0.0,18.0,0.0,0.0,8.0,9.0,2.0,23.0,0.0,0.0,54.0,8.0,8.0,50.0,568.0,645.0,88.1,9411.0,2892.0,293.0,309.0,94.8,220.0,244.0,90.2,44.0,64.0,68.8,4.0,3.5,2.3,22.0,47.0,12.0,4.0,51.0,608.0,35.0,10.0,2.0,5.0,23.0,13.0,7.0,0.0,3.0,1.0,2.0,12.0,61.0,735.0,39.0,177.0,345.0,219.0,35.0,735.0,18.0,10.0,55.6,5.0,27.8,405.0,2598.0,1589.0,36.0,26.0,16.0,11.0,8.0,561.0,50.0,24.0,9.0,37.5,0.17,0.44,16.9,1.0,0.0,0.0,3.6,3.6,0.16,0.4,0.4
8,2022-09-14,20:00,Champions Lg,Group stage,Wed,Home,W,2.0,1.0,de Dortmund,0.7,50441.0,İlkay Gündoğan,4-3-3,Daniele Orsato,Match Report,,15.0,8.0,3.0,9.0,3.0,6.0,11.0,54.5,5.0,7.0,0.0,7.0,8.0,23.0,6.0,0.0,23.0,18.0,4.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,1.0,5.0,20.0,24.0,4.0,12.5,25.0,5.0,40.0,41.2,7.0,0.0,0.0,1.0,37.0,2.0,0.0,9.0,7.0,0.0,27.0,0.0,0.0,50.0,9.0,7.0,56.3,663.0,761.0,87.1,12228.0,3349.0,279.0,302.0,92.4,302.0,330.0,91.5,73.0,99.0,73.7,2.0,0.9,1.1,10.0,80.0,13.0,4.0,78.0,719.0,42.0,8.0,2.0,11.0,27.0,21.0,6.0,3.0,1.0,0.0,0.0,9.0,66.0,856.0,42.0,154.0,434.0,274.0,31.0,856.0,17.0,10.0,58.8,7.0,41.2,570.0,2806.0,1549.0,27.0,15.0,11.0,14.0,9.0,659.0,77.0,12.0,3.0,25.0,0.17,0.67,17.3,0.0,0.0,0.0,1.0,1.0,0.08,1.0,1.0
9,2022-09-17,12:30,Premier League,Matchweek 8,Sat,Away,W,3.0,0.0,Wolves,0.4,31578.0,Kevin De Bruyne,4-3-3,Anthony Taylor,Match Report,,19.0,11.0,10.0,9.0,0.0,9.0,22.0,40.9,13.0,9.0,1.0,8.0,15.0,34.0,12.0,0.0,30.0,25.0,2.0,1.0,2.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,0.1,0.1,0.0,0.0,0.0,0.0,1.0,3.0,33.3,26.0,4.0,7.7,24.2,6.0,16.7,23.2,7.0,1.0,14.3,2.0,15.5,1.0,0.0,9.0,6.0,1.0,12.0,0.0,0.0,52.0,11.0,3.0,78.6,586.0,655.0,89.5,9988.0,3241.0,269.0,291.0,92.4,269.0,290.0,92.8,41.0,56.0,73.2,3.0,0.9,1.3,14.0,44.0,12.0,2.0,50.0,617.0,37.0,7.0,4.0,7.0,12.0,16.0,7.0,3.0,2.0,0.0,1.0,3.0,59.0,761.0,52.0,219.0,379.0,168.0,25.0,761.0,20.0,11.0,55.0,8.0,40.0,546.0,2826.0,1470.0,28.0,18.0,9.0,13.0,11.0,585.0,50.0,16.0,7.0,43.8,0.19,0.43,19.4,0.0,0.0,0.0,1.1,1.1,0.07,1.9,1.9
10,2022-10-02,14:00,Premier League,Matchweek 9,Sun,Home,W,6.0,3.0,Manchester Utd,1.7,53475.0,İlkay Gündoğan,4-3-3,Michael Oliver,Match Report,,14.0,8.0,5.0,5.0,4.0,7.0,11.0,63.6,4.0,10.0,3.0,7.0,11.0,25.0,8.0,0.0,38.0,26.0,3.0,1.0,7.0,1.0,0.0,12.0,10.0,1.0,0.0,1.0,0.0,0.0,8.0,5.0,75.0,0.0,2.9,-0.1,1.0,1.0,0.0,0.0,9.0,16.0,56.3,62.0,3.0,22.6,27.1,8.0,25.0,32.9,4.0,0.0,0.0,3.0,17.1,0.0,0.0,3.0,9.0,1.0,10.0,0.0,1.0,50.0,10.0,6.0,62.5,506.0,576.0,87.8,9597.0,2816.0,190.0,210.0,90.5,245.0,261.0,93.9,60.0,76.0,78.9,6.0,2.3,2.4,16.0,25.0,13.0,2.0,49.0,539.0,36.0,8.0,2.0,6.0,10.0,11.0,5.0,2.0,2.0,0.0,1.0,7.0,53.0,663.0,79.0,246.0,276.0,145.0,45.0,663.0,14.0,11.0,78.6,1.0,7.1,444.0,2511.0,1553.0,27.0,9.0,10.0,10.0,13.0,503.0,49.0,22.0,9.0,40.9,0.27,0.67,14.2,1.0,0.0,0.0,3.2,3.2,0.15,2.8,2.8
11,2022-10-05,20:00,Champions Lg,Group stage,Wed,Home,W,5.0,0.0,dk FC Copenhagen,0.4,51765.0,İlkay Gündoğan,4-4-2,Donatas Rumšas,Match Report,,11.0,6.0,1.0,7.0,3.0,6.0,12.0,50.0,6.0,5.0,1.0,4.0,3.0,14.0,2.0,0.0,55.0,47.0,2.0,1.0,3.0,2.0,0.0,7.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,100.0,31.0,4.0,25.8,27.6,3.0,0.0,23.7,4.0,0.0,0.0,0.0,,0.0,0.0,7.0,6.0,0.0,19.0,1.0,0.0,43.0,12.0,6.0,66.7,818.0,889.0,92.0,13799.0,3464.0,397.0,414.0,95.9,336.0,362.0,92.8,69.0,83.0,83.1,3.0,2.1,2.1,22.0,80.0,19.0,3.0,74.0,859.0,30.0,4.0,1.0,3.0,19.0,15.0,7.0,1.0,0.0,1.0,0.0,6.0,75.0,985.0,33.0,121.0,512.0,358.0,54.0,984.0,19.0,9.0,47.4,8.0,42.1,670.0,3797.0,2119.0,40.0,27.0,13.0,6.0,8.0,811.0,72.0,29.0,15.0,51.7,0.1,0.2,19.2,1.0,1.0,1.0,4.3,3.5,0.13,-0.3,-0.5
12,2022-10-08,15:00,Premier League,Matchweek 10,Sat,Home,W,4.0,0.0,Southampton,0.2,53365.0,Kevin De Bruyne,4-2-3-1,Andy Madley,Match Report,,15.0,8.0,6.0,8.0,1.0,11.0,14.0,78.6,3.0,8.0,2.0,6.0,8.0,23.0,6.0,0.0,35.0,28.0,2.0,3.0,2.0,0.0,0.0,8.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,57.1,34.0,4.0,20.6,25.6,4.0,0.0,20.0,5.0,1.0,20.0,0.0,11.0,0.0,0.0,4.0,8.0,1.0,21.0,0.0,0.0,57.0,11.0,10.0,52.4,687.0,782.0,87.9,12213.0,3701.0,296.0,319.0,92.8,318.0,343.0,92.7,66.0,92.0,71.7,4.0,1.9,1.1,16.0,46.0,14.0,3.0,66.0,746.0,35.0,9.0,2.0,8.0,21.0,12.0,9.0,4.0,2.0,0.0,1.0,15.0,65.0,879.0,59.0,274.0,434.0,179.0,54.0,879.0,17.0,7.0,41.2,7.0,41.2,554.0,2873.0,1413.0,28.0,16.0,17.0,10.0,12.0,682.0,66.0,21.0,8.0,38.1,0.19,0.5,13.9,0.0,0.0,0.0,2.4,2.4,0.12,1.6,1.6
13,2022-10-11,18:45,Champions Lg,Group stage,Tue,Away,D,0.0,0.0,dk FC Copenhagen,0.3,35447.0,İlkay Gündoğan,4-2-3-1,Artur Dias,Match Report,,11.0,8.0,6.0,4.0,1.0,6.0,8.0,75.0,2.0,7.0,1.0,6.0,4.0,15.0,10.0,0.0,22.0,14.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,0.1,0.1,0.0,0.0,0.0,0.0,4.0,12.0,33.3,31.0,6.0,25.8,29.8,8.0,50.0,46.6,8.0,1.0,12.5,2.0,17.0,1.0,1.0,6.0,12.0,2.0,17.0,0.0,0.0,45.0,14.0,10.0,58.3,597.0,677.0,88.2,10006.0,2418.0,302.0,318.0,95.0,246.0,269.0,91.4,44.0,71.0,62.0,0.0,0.6,0.5,10.0,47.0,1.0,1.0,30.0,628.0,47.0,13.0,0.0,5.0,17.0,17.0,8.0,4.0,3.0,0.0,2.0,8.0,59.0,763.0,64.0,185.0,379.0,202.0,13.0,762.0,8.0,3.0,37.5,2.0,25.0,505.0,2622.0,1537.0,27.0,22.0,4.0,11.0,6.0,595.0,29.0,13.0,3.0,23.1,0.0,0.0,21.7,0.0,0.0,1.0,1.6,0.9,0.07,-1.6,-0.9
14,2022-10-16,16:30,Premier League,Matchweek 11,Sun,Away,L,0.0,1.0,Liverpool,2.1,53286.0,İlkay Gündoğan,3-4-3,Anthony Taylor,Match Report,,20.0,14.0,6.0,13.0,1.0,5.0,8.0,62.5,3.0,16.0,2.0,14.0,7.0,27.0,15.0,1.0,30.0,26.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,0.0,0.7,-0.3,0.0,0.0,0.0,0.0,1.0,2.0,50.0,32.0,4.0,6.3,24.3,8.0,0.0,16.6,11.0,0.0,0.0,1.0,19.0,1.0,0.0,7.0,8.0,0.0,26.0,0.0,0.0,62.0,15.0,10.0,60.0,646.0,751.0,86.0,11808.0,4176.0,247.0,282.0,87.6,324.0,357.0,90.8,60.0,86.0,69.8,0.0,0.9,1.2,12.0,53.0,17.0,4.0,76.0,701.0,50.0,13.0,0.0,4.0,26.0,19.0,6.0,4.0,0.0,0.0,0.0,10.0,63.0,877.0,84.0,246.0,451.0,189.0,35.0,877.0,18.0,8.0,44.4,8.0,44.4,478.0,2222.0,1211.0,31.0,11.0,8.0,15.0,15.0,643.0,75.0,16.0,6.0,37.5,0.0,0.0,18.4,0.0,0.0,0.0,1.0,1.0,0.06,-1.0,-1.0
15,2022-10-22,15:00,Premier League,Matchweek 13,Sat,Home,W,3.0,1.0,Brighton,0.5,53223.0,Kevin De Bruyne,4-3-3,Craig Pawson,Match Report,,14.0,9.0,6.0,6.0,2.0,7.0,14.0,50.0,7.0,12.0,3.0,9.0,8.0,22.0,12.0,1.0,20.0,12.0,3.0,1.0,2.0,2.0,0.0,6.0,5.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,50.0,0.0,0.3,-0.7,0.0,0.0,0.0,0.0,4.0,20.0,20.0,47.0,5.0,31.9,33.4,7.0,71.4,54.7,13.0,2.0,15.4,4.0,18.5,1.0,0.0,11.0,12.0,0.0,11.0,1.0,0.0,51.0,1.0,8.0,11.1,384.0,471.0,81.5,6597.0,2127.0,187.0,201.0,93.0,156.0,188.0,83.0,32.0,65.0,49.2,2.0,0.8,1.2,8.0,22.0,10.0,0.0,38.0,430.0,41.0,15.0,3.0,1.0,11.0,9.0,6.0,0.0,4.0,0.0,0.0,5.0,48.0,558.0,65.0,210.0,201.0,153.0,27.0,557.0,16.0,8.0,50.0,5.0,31.3,324.0,1772.0,854.0,13.0,13.0,3.0,8.0,11.0,372.0,38.0,9.0,3.0,33.3,0.22,0.67,15.0,0.0,1.0,1.0,1.6,0.8,0.09,1.4,1.2
